name,last_name,first_name,display,position,proj
NOAHGRAY,GRAY,NOAH,Noah Gray,TE,70.888994574
WILLDISSLY,DISSLY,WILL,Will Dissly,TE,64.962271062
GERALDEVERETT,EVERETT,GERALD,Gerald Everett,TE,46.32805478939999
JEREMYRUCKERT,RUCKERT,JEREMY,Jeremy Ruckert,TE,57.717481198
AUSTINHOOPER,HOOPER,AUSTIN,Austin Hooper,TE,56.956739032
THEOJOHNSON,JOHNSON,THEO,Theo Johnson,TE,55.33305018
TANNERHUDSON,HUDSON,TANNER,Tanner Hudson,TE,47.751984168
TOMMYTREMBLE,TREMBLE,TOMMY,Tommy Tremble,TE,56.89094789999999
CONNORHEYWARD,HEYWARD,CONNOR,Connor Heyward,TE,50.386722307999996
KYLENGRANSON,GRANSON,KYLEN,Kylen Granson,TE,48.942444044
ADAMTRAUTMAN,TRAUTMAN,ADAM,Adam Trautman,TE,46.133197998
JAMEISWINSTON,WINSTON,JAMEIS,Jameis Winston,QB,28.467811409
JARRETTSTIDHAM,STIDHAM,JARRETT,Jarrett Stidham,QB,41.783350333
